"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
"201","Elias Sauer","845","0","DE-AT-CH","DE","2439","9","12","32","32","6","161","3","8","268","0","6","508229"
"202","Aday Coba Lopez","845","0","Iberia","ES","7307","6","11","16","38","2","60","1","5","202","2","4","119518"
"203","Kristian Chard","844","0","UK and I","GB","2273","10","6","22","19","2","110","3","8","226","0","9","406424"
"204","Javier Soto","843","0","Iberia","ES","3780","8","13","37","1","0","176","1","6","399","1","7","79868"
"205","Haydn Felici","842","0","Australia/NZ","AU","1761","9","11","48","42","4","263","5","8","514","3","10","106238"
"206","Jung Jeremie","842","0","France","FR","3120","10","7","30","11","1","116","2","7","212","0","10","138357"
"207","IGOR GABOARDi","841","0","Brazil","BR","2820","10","10","36","34","3","251","2","6","377","2","7","496206"
"208","Cesare Montalto","840","0","Italy","IT","2286","8","4","16","0","0","76","3","8","207","0","10","369289"
"209","Samuel Walsh","839","0","Australia/NZ","AU","2249","7","7","12","21","2","54","3","8","142","1","8","469927"
"210","André Aguiar","838","0","Iberia","PT","2274","11","11","40","58","6","224","2","8","286","2","8","488592"
"211","Mario Hernandez5","838","0","Iberia","ES","2620","8","4","13","0","0","63","2","8","152","0","10","395811"
"212","Robin Treto","837","0","Florida","US","3009","9","3","11","0","0","46","2","8","130","0","8","433090"
"213","Jordi López","836","0","Iberia","ES","2349","10","17","67","4","0","273","3","8","705","0","11","557803"
"214","Christian Kohrn","836","0","DE-AT-CH","DE","2658","13","1","19","3","1","97","2","8","219","0","13","367790"
"215","Adam Groves","835","0","UK and I","GB","2212","11","16","61","2","1","240","3","8","674","1","11","261447"
"216","Ahmed Elbaz","833","0","Africa/South Africa","EG","2193","10","10","38","26","3","187","2","8","328","2","10","221352"
"217","Davide Fashole","833","0","UK and I","GB","3474","10","9","38","0","0","277","2","6","503","0","10","476452"
"218","Rory Alexander","833","0","UK and I","GB","1997","8","4","13","4","0","64","3","8","171","0","10","345758"
"219","Marcelo Ajmed Jimenez","832","0","Hispanoamérica","AR","2252","8","17","35","83","7","156","3","8","342","10","5","389655"
"220","Tobias Köhler","830","0","DE-AT-CH","DE","2460","8","6","16","8","2","117","3","8","172","1","11","587577"
"221","AITOR cagide","830","0","Iberia","ES","3774","12","1","10","0","0","61","1","8","92","0","10","316372"
"222","Jonathan Ortuño","828","0","Iberia","HK","2363","10","8","33","19","2","152","3","8","342","1","11","418026"
"223","Marcos F. Kornievicz","828","0","Brazil","BR","2397","11","4","39","0","0","114","2","8","404","0","11","401018"
"224","Simon Barnard","828","0","Canada","CA","3018","12","1","17","0","0","95","2","8","210","0","13","554396"
"225","Tomasz Klepczynski","828","0","Central-Eastern Europe","PL","3018","10","4","23","0","0","112","3","8","241","0","12","310984"
"226","Gaël VALERO","827","0","France","FR","6504","4","10","13","51","4","86","1","5","141","6","3","393663"
"227","Kaden Bihn","826","0","New York","US","7086","2","10","11","29","4","41","1","5","135","2","5","345722"
"228","Abdulkheir Al Amry","826","0","UK and I","GB","2760","12","5","25","1","0","160","2","8","193","0","11","28682"
"229","Dean Chen","826","0","Canada","CA","2913","10","2","23","0","0","168","2","8","244","0","9","110532"
